Name,Draft Pick,Weight,Career MS Recs,Shuttle,Height-Speed,Three Cone,Speed,Final MS Yds,Final Rush Yds,Career Rec TDs
Saquon Barkley,2,233,0.137,4.24,120.5,6.83,124.3,0.316,1271,8
Rashaad Penny,27,220,0.067,4.26,108.5,6.96,111.2,0.456,2248,6
Sony Michel,31,214,0.079,4.21,97.2,6.91,100.7,0.201,1227,6
Nick Chubb,35,227,0.038,4.25,105.4,7.09,108.8,0.209,1345,4
Ronald Jones,38,205,0.035,4.20,107.7,6.90,110.4,0.255,1550,3
Kerryon Johnson,43,213,0.089,4.29,95.2,7.07,96.6,0.250,1391,2
Derrius Guice,59,224,0.064,4.26,106.1,6.96,110.2,0.256,1251,3
Royce Freeman,71,229,0.077,4.16,106.2,6.90,107.8,0.285,1475,4
Nyheim Hines,104,198,0.108,4.35,98.5,7.18,107.6,0.214,1113,1
Mark Walton,112,202,0.074,4.26,86.0,6.96,90.2,0.098,428,2
Ito Smith,126,200,0.122,4.47,87.3,7.11,94.9,0.326,1415,7
Kalen Ballage,131,228,0.073,4.35,115.4,6.91,115.2,0.135,669,2
Chase Edmonds,134,205,0.084,4.07,89.3,6.79,95.7,0.134,392,7
Jordan Wilkins,169,216,0.037,4.27,86.1,6.91,87.8,0.225,1011,1
John Kelly,176,216,0.067,4.51,85.9,7.13,90.8,0.306,778,0
Boston Scott,201,195,0.036,4.26,83.9,6.92,95.5,0.230,1047,1
Trenton Cannon,204,185,0.113,4.21,86.8,7.04,90.6,0.365,1638,7
David Williams,226,224,0.041,4.45,100.0,7.23,102.9,0.183,656,2
Bo Scarbrough,236,228,0.045,4.34,109.1,6.86,109.2,0.112,596,0
Justin Jackson,251,199,0.123,4.07,95.8,6.81,97.1,0.298,1311,1
